house_type,locality,city,area,beds,bathrooms,balconies,furnishing,area_rate,rent
1 BHK House for Rent in Jakkur Bangalore,Jakkur,Bangalore,600.0,1,1,0,Unfurnished,27.0,16000.0
4 BHK House for Rent in Indiranagar Bangalore,Indira Nagar,Bangalore,2000.0,4,3,0,Semi-Furnished,40.0,80000.0
"3 BHK Flat for Rent in Whitefield, Bangalore",Whitefield,Bangalore,1543.0,3,3,0,Unfurnished,39.0,60000.0
"3 BHK Flat for Rent in CV Raman Nagar, Bangalore",C V Raman Nagar,Bangalore,1900.0,3,3,3,Semi-Furnished,37.0,70000.0
"2 BHK Flat for Rent in Balagere, Bangalore",Balagere,Bangalore,1200.0,2,2,2,Semi-Furnished,16.0,19000.0
2 BHK House for Rent in Medahalli Bangalore,MedaHalli,Bangalore,300.0,2,2,0,Semi-Furnished,83.0,25000.0
1 BHK House for Rent in Harsha Layout Kengeri Satellite Town Bangalore,Harsha Layout,Bangalore,850.0,1,1,0,Semi-Furnished,11.0,9000.0
"4 BHK Flat for Rent in Pulikeshi Nagar, Bangalore",Frazer Town,Bangalore,2350.0,4,3,0,Furnished,38.0,90000.0
"2 BHK Flat for Rent in Budigere, Bangalore",Budigere,Bangalore,1153.0,2,2,2,Semi-Furnished,29.0,34000.0
"2 BHK Flat for Rent in Kasavanahalli, Bangalore",Kasavanahalli,Bangalore,1500.0,2,2,0,Semi-Furnished,27.0,40000.0
"2 BHK Flat for Rent in Marathahalli, Bangalore",Marathahalli,Bangalore,1180.0,2,2,2,Semi-Furnished,32.0,38000.0
"3 BHK Flat for Rent in Hebbal, Bangalore",Hebbal,Bangalore,3000.0,3,3,2,Furnished,57.0,170000.0
3 BHK House for Rent in Sahakar Nagar Bangalore,Sahakara Nagar,Bangalore,1400.0,3,3,0,Unfurnished,29.0,40000.0
"2 BHK Flat for Rent in Hebbal, Bangalore",Hebbal,Bangalore,1420.0,2,2,2,Semi-Furnished,25.0,35000.0
4 BHK Villa for Rent in Hennur Gardens Bangalore,Hennur,Bangalore,3000.0,4,5,2,Furnished,67.0,200000.0
3 BHK House for Rent in Electronic City Bangalore,Electronic City,Bangalore,2000.0,3,3,3,Semi-Furnished,13.0,25000.0
"3 BHK Flat for Rent in Balagere, Bangalore",Balagere,Bangalore,1700.0,3,3,2,Semi-Furnished,37.0,63000.0
"4 BHK Flat for Rent in Hulimavu, Bangalore",Hulimavu,Bangalore,3560.0,4,5,5,Furnished,37.0,130000.0
"3 BHK Flat for Rent in Sarjapur Road, Bangalore",Sarjapur Road,Bangalore,1200.0,3,3,2,Furnished,38.0,45000.0
"3 BHK Flat for Rent in Begur Road, Bangalore",Begur Road,Bangalore,1631.0,3,2,2,Semi-Furnished,36.0,58000.0
"3 BHK Flat for Rent in Neeladri Nagar, Bangalore",Neeladri Nagar,Bangalore,1845.0,3,3,3,Semi-Furnished,24.0,45000.0
2 BHK House for Rent in RR Nagar Bangalore,Rajarajeshwari Nagar,Bangalore,900.0,2,2,0,Unfurnished,19.0,17000.0
"2 BHK House for Rent in Hoodi, Hoodi Bangalore",Hoodi,Bangalore,1200.0,2,2,0,Semi-Furnished,16.0,19000.0
2 BHK House for Rent in Stage 3rd HAL Bangalore,HAL 3rd Stage,Bangalore,600.0,2,1,0,Semi-Furnished,33.0,20000.0
4 BHK Villa for Rent in State Highway 104 Bangalore,State Highway 104,Bangalore,4900.0,4,4,0,Furnished,33.0,160000.0
"2 BHK Flat for Rent in Manayata Tech Park, Bangalore",Manyata Tech Park,Bangalore,800.0,2,2,2,Unfurnished,38.0,30000.0
"4 BHK Flat for Rent in Thanisandra Main Road, Bangalore",Thanisandra Main Road,Bangalore,2494.0,4,4,0,Semi-Furnished,160.0,400000.0
"2 BHK House for Rent in Pns Layout, Kalyan Nagar Bangalore",PNS Layout,Bangalore,650.0,2,2,0,Semi-Furnished,31.0,20000.0
"4 BHK Flat for Rent in Block 1st Koramangala, Bangalore",Block 1st Koramangala,Bangalore,2100.0,4,4,3,Furnished,71.0,150000.0
"2 BHK Flat for Rent in Sampigehalli, Sampigehalli, Bangalore",Sampigehalli,Bangalore,340.0,2,2,0,Semi-Furnished,94.0,32000.0
4 BHK House for Rent in Whitefield Bangalore,Whitefield,Bangalore,1750.0,4,5,3,Unfurnished,57.0,100000.0
"3 BHK Flat for Rent in Marathahalli, Bangalore",Marathahalli,Bangalore,1580.0,3,3,3,Semi-Furnished,38.0,60000.0
"3 BHK Flat for Rent in Stage 2 Indiranagar, Bangalore",Indira nagar Stage 2,Bangalore,1700.0,3,3,3,Furnished,44.0,75000.0
"2 BHK Flat for Rent in Gottigere, Bangalore",Gottigere,Bangalore,1178.0,2,2,4,Unfurnished,15.0,18000.0
"3 BHK Flat for Rent in Itpl, Whitefield, Bangalore",ITPL,Bangalore,1800.0,3,3,2,Semi-Furnished,40.0,72000.0
1 BHK House for Rent in Yelahanka Bangalore,Yelahanka,Bangalore,1100.0,1,2,0,Unfurnished,11.0,12000.0
"2 BHK Flat for Rent in Hennur Gardens, Bangalore",Hennur,Bangalore,800.0,2,2,0,Semi-Furnished,45.0,36000.0
"2 BHK Flat for Rent in Sarjapur Road, Bangalore",Sarjapur Road,Bangalore,1237.0,2,2,0,Semi-Furnished,40.0,50000.0
"3 BHK Flat for Rent in Domlur, Domlur, Bangalore",Domlur,Bangalore,1750.0,3,4,3,Semi-Furnished,57.0,100000.0
2 BHK House for Rent in Gottigere Bangalore,Gottigere,Bangalore,700.0,2,1,0,Semi-Furnished,11.0,7500.0
"2 BHK Flat for Rent in Harlur, Bangalore",Harlur,Bangalore,845.0,2,2,0,Semi-Furnished,53.0,45000.0
2 BHK House for Rent in MKS Layout Bangalore,MKS Layout,Bangalore,1000.0,2,2,0,Semi-Furnished,25.0,25000.0
